Run Number,Center,Energy,,C,S
11923,M5-T2,60,Position Scan (center -1cm),,
11924,M5-T2,60,Position Scan (center -2cm),,
11925,M5-T2,60,Position Scan (center -3cm),,
11926,M5-T2,60,Position Scan (center -4cm),,a
11929,M5-T2,60,Position Scan (center +1cm),,
11930,M5-T2,60,Position Scan (center +2cm),,
11931,M5-T2,60,Position Scan (center +3cm),,a
11932,M5-T2,60,Position Scan (center +4cm),a,a
11933,M5-T2,60,Position Scan (center),,
11934,M5-T2,60,Position Scan (center +1cm),,
11935,M5-T2,60,Position Scan (center +2cm),,
11936,M5-T2,60,Position Scan (center +3cm),,a
11937,M5-T2,60,Position Scan (center +4cm),a,a
11938,M5-T2,60,Position Scan (center -1cm),,
11939,M5-T2,60,Position Scan (center -2cm),,
11940,M5-T2,60,Position Scan (center -3cm),,
11941,M5-T2,60,Position Scan (center -4cm),a,a
11942,M5-T2,60,Position Scan (center -5cm),a,a
12148,M7-T3,60,Calibration,,
12149,M7-T1,60,Calibration,,
12150,M7-T2,60,Calibration,,
12168,M4-T2,60,Calibration,,
12169,M7-T1,60,Calibration,,
12170,M1-T1,60,Calibration,,
12171,M1-T1,60,Calibration,,
12172,M1-T2,60,Calibration,,
12174,M2-T1,60,Calibration,,
12175,M2-T2,60,Calibration,,
12176,M3-T1,60,Calibration,,
12177,M3-T2,60,Calibration,,
12178,M3-T4,60,Calibration,,
12179,M3-T3,60,Calibration,,
12180,M2-T4,60,Calibration,,
12181,M2-T3,60,Calibration,,
12182,M1-T4,60,Calibration,,
12183,M1-T3,60,Calibration,,
12184,M4-T1,60,Calibration,,
12185,M4-T2,60,Calibration,,
12186,M5-T1,60,Calibration,,
12187,M5-T2,60,Calibration,,
12188,M6-T1,60,Calibration,,
12189,M6-T2,60,Calibration,,
12190,M6-T4,60,Calibration,,
12191,M6-T3,60,Calibration,,
12192,M5-T4,60,Calibration,,
12194,M4-T4,60,Calibration,,
12195,M4-T3,60,Calibration,,
12196,M7-T1,60,Calibration,,
12197,M7-T2,60,Calibration,,
12198,M8-T1,60,Calibration,,
12199,M8-T2,60,Calibration,,
12200,M9-T1,60,Calibration,,
12201,M9-T2,60,Calibration,,
12202,M9-T4,60,Calibration,,
12203,M9-T3,60,Calibration,,
12204,M8-T4,60,Calibration,,
12205,M8-T3,60,Calibration,,
12206,M7-T4,60,Calibration,,
12207,M7-T3,60,Calibration,,
12217,M5-T1,100,Position Scan,,
12218,M5-T1,100,Position Scan (경계),,
12218,M5-T2,100,Position Scan (경계),,
12219,M5-T2,100,Position Scan,,
12220,M5-T2,100,Position Scan,,
12221,M5-T2,100,Position Scan,,
12222,M6-T1,100,Position Scan (경계),,
12222,M6-T1,100,Position Scan (경계),,
12223,M6-T1,100,Position Scan (경계),a,a
12223,M6-T2,100,Position Scan (경계),a,a
12225,M5-T2,100,Position Scan (경계),,
12225,M6-T1,100,Position Scan (경계),,
12225,M5-T4,100,Position Scan (경계),,
12225,M6-T3,100,Position Scan (경계),,
12226,M5-T2,100,Position Scan (경계),,
12226,M5-T4,100,Position Scan (경계),,
12227,M5-T1,100,Position Scan (경계),a,a
12227,M5-T2,100,Position Scan (경계),a,a
12227,M5-T3,100,Position Scan (경계),a,a
12227,M5-T4,100,Position Scan (경계),a,a
12228,M5-T1,100,Position Scan (경계),,a
12228,M5-T3,100,Position Scan (경계),,a
12229,M5-T3,100,Position Scan,,a
12230,M5-T3,100,Position Scan (경계),a,a
12230,M5-T4,100,Position Scan (경계),a,a
12231,M5-T4,100,Position Scan,,
12232,M5-T4,100,Position Scan,,
12232,M6-T3,100,Position Scan,,
12233,M6-T3,100,Position Scan,,
12252,M5-T2,100,Energy Scan,,
12253,M5-T2,100,Energy Scan,,
12254,M5-T2,120,Energy Scan,,
12255,M5-T2,80,Energy Scan,,
12256,M5-T2,40,Energy Scan,,
12257,M5-T2,30,Energy Scan,,
12258,M5-T2,20,Energy Scan,,
12259,M5-T2,10,Energy Scan,,
12260,M5-T2,100,Energy Scan,,
12261,M5-T2,100,Energy Scan,,
12263,M5-T2,120,Energy Scan,,
12264,M5-T2,120,Energy Scan,,
12265,M5-T2,80,Energy Scan,,
12266,M5-T2,80,Energy Scan,,
12267,M5-T2,120,Energy Scan,,
12268,M5-T2,120,Energy Scan,,
12269,M5-T2,60,Energy Scan,,
12270,M5-T2,60,Energy Scan,,
12271,M5-T2,40,Energy Scan,,
12272,M5-T2,40,Energy Scan,,
12273,M5-T2,30,Energy Scan,,
12274,M5-T2,30,Energy Scan,,
12275,M5-T2,20,Energy Scan,,
12276,M5-T2,20,Energy Scan,,
12277,M5-T2,10,Energy Scan,,
12278,M5-T2,60,Energy Scan,,
12279,M5-T2,120,Energy Scan,,
12280,M5-T2,120,Energy Scan,,
12281,M4-T2,120,Energy Scan,,
12285,M4-T2,120,Energy Scan,,
12286,M4-T2,10,Energy Scan,,
12292,M4-T2,10,Energy Scan,,
12293,M4-T2,120,Energy Scan,,
12294,M4-T2,120,Energy Scan,,
12295,M4-T2,120,Energy Scan,,
12296,M4-T2,120,Energy Scan,,
12297,M4-T2,120,Energy Scan,,
12298,M4-T2,120,Energy Scan,,
12299,M4-T2,120,Energy Scan,,
12300,M4-T2,120,Energy Scan,,
12301,M4-T2,100,Energy Scan,,
12302,M4-T2,100,Energy Scan,,
12303,M4-T2,100,Energy Scan,,
12304,M4-T2,80,Energy Scan,,
12305,M4-T2,80,Energy Scan,,
12306,M4-T2,80,Energy Scan,,
12307,M4-T2,60,Energy Scan,,
12308,M4-T2,60,Energy Scan,,
12309,M4-T2,60,Energy Scan,,
12310,M4-T2,40,Energy Scan,,
12311,M4-T2,40,Energy Scan,,
12312,M4-T2,40,Energy Scan,,
12313,M4-T2,30,Energy Scan,,
12314,M4-T2,30,Energy Scan,,
12315,M4-T2,30,Energy Scan,,
12316,M4-T2,20,Energy Scan,,
12317,M4-T2,20,Energy Scan,,
12318,M4-T2,20,Energy Scan,,
12319,M4-T2,10,Energy Scan,,
12320,M4-T2,10,Energy Scan,,
12321,M5-T2,10,Energy Scan,,
12322,M5-T2,10,Energy Scan,,
12323,M5-T2,10,Energy Scan,,
